"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2018","193.34","193.76","195.23","193.02","46.20M","-0.77%"
"08/22/2018","194.85","196.18","196.65","194.41","46.63M","-1.30%"
"08/21/2018","197.41","194.39","197.75","194.24","70.81M","2.00%"
"08/20/2018","193.53","189.01","193.61","188.21","50.72M","1.20%"
"08/17/2018","191.23","193.51","194.07","190.27","63.64M","-2.63%"
"08/16/2018","196.40","196.59","198.61","196.19","46.57M","0.20%"
"08/15/2018","196.01","197.27","197.27","193.02","58.18M","-1.34%"
"08/14/2018","198.67","200.55","201.76","198.67","54.65M","-0.67%"
"08/13/2018","200.02","203.69","203.71","198.61","95.48M","-1.31%"
"08/10/2018","202.68","204.75","204.75","201.11","61.07M","-1.07%"
"08/09/2018","204.87","208.52","208.57","203.38","65.49M","-2.17%"
"08/08/2018","209.41","208.96","211.64","208.91","55.19M","-0.86%"
"08/07/2018","211.23","204.11","212.82","203.16","67.77M","3.76%"
"08/06/2018","203.58","204.29","206.13","203.30","38.78M","-0.82%"
"08/03/2018","205.26","202.24","205.63","202.10","50.56M","1.35%"
"08/02/2018","202.53","199.26","202.83","197.06","78.00M","4.50%"
"08/01/2018","193.81","195.27","195.49","191.87","66.42M","-0.89%"
"07/31/2018","195.55","194.65","196.22","194.46","62.00M","0.78%"
"07/30/2018","194.03","194.50","195.22","193.08","54.15M","-0.19%"
"07/27/2018","194.40","195.29","195.84","193.28","66.28M","-0.12%"
"07/26/2018","194.63","198.55","198.55","193.91","126.85M","-2.88%"
"07/25/2018","200.40","196.50","200.99","193.41","147.14M","-0.67%"
"07/24/2018","201.75","203.26","204.29","200.58","74.27M","0.30%"
"07/23/2018","201.15","201.61","201.70","199.00","56.58M","-1.38%"
"07/20/2018","203.96","205.57","205.64","203.25","59.32M","-1.32%"
"07/19/2018","206.69","207.31","207.84","205.29","53.01M","-0.97%"
"07/18/2018","208.72","209.27","209.50","207.43","53.41M","-0.07%"
"07/17/2018","208.86","204.86","210.10","204.86","54.59M","1.61%"
"07/16/2018","205.55","205.97","206.67","203.97","62.38M","-1.00%"
"07/13/2018","207.63","206.85","207.77","204.88","49.08M","0.06%"
"07/12/2018","207.51","209.33","209.69","206.49","41.29M","-0.26%"
"07/11/2018","208.05","208.24","209.19","207.36","45.02M","-1.58%"
"07/10/2018","211.40","211.03","212.08","209.77","42.39M","0.84%"
"07/09/2018","209.64","206.76","209.73","205.19","41.48M","1.95%"
"07/06/2018","205.64","205.13","206.95","202.78","43.80M","-0.25%"
"07/05/2018","206.16","207.08","208.39","203.95","59.38M","0.44%"
"07/03/2018","205.25","211.10","211.29","204.79","35.06M","-2.95%"
"07/02/2018","211.49","215.10","216.44","208.88","66.56M","-0.57%"
"06/29/2018","212.70","218.55","218.87","212.67","65.98M","-2.11%"
"06/28/2018","217.28","217.44","218.22","215.10","64.41M","0.28%"
"06/27/2018","216.68","218.44","220.37","216.15","47.57M","-0.54%"
"06/26/2018","217.86","216.11","218.67","213.83","61.19M","1.18%"
"06/25/2018","215.32","216.79","218.30","213.40","57.78M","-1.28%"
"06/22/2018","218.11","222.76","222.99","217.34","61.05M","-1.38%"
"06/21/2018","221.17","224.63","226.33","220.20","57.25M","-2.39%"
"06/20/2018","226.59","227.22","228.54","224.82","52.02M","0.64%"
