"Date","Price","Open","High","Low","Vol.","Change %"
"02/04/2022","1,292.75","1,268.87","1,308.89","1,248.28","313.52M","1.60%"
"02/03/2022","1,272.45","1,268.28","1,328.24","1,264.96","214.01M","-1.95%"
"02/02/2022","1,297.72","1,326.08","1,329.07","1,274.51","221.30M","-2.27%"
"02/01/2022","1,327.92","1,325.81","1,337.12","1,287.91","259.26M","0.21%"
"01/31/2022","1,325.09","1,243.04","1,325.49","1,232.98","237.54M","8.97%"
"01/28/2022","1,216.00","1,201.85","1,226.48","1,153.64","277.46M","1.21%"
"01/27/2022","1,201.52","1,321.32","1,324.80","1,201.16","294.52M","-9.21%"
"01/26/2022","1,323.47","1,350.13","1,387.39","1,288.89","306.08M","1.43%"
"01/25/2022","1,304.84","1,304.17","1,344.10","1,286.08","230.34M","-1.55%"
"01/24/2022","1,325.34","1,292.38","1,328.97","1,219.40","380.83M","-1.15%"
"01/21/2022","1,340.71","1,404.84","1,408.21","1,336.56","299.86M","-4.58%"
"01/20/2022","1,405.09","1,430.15","1,471.34","1,402.40","310.72M","-0.85%"
"01/19/2022","1,417.16","1,484.50","1,501.10","1,416.25","278.42M","-3.70%"
"01/18/2022","1,471.63","1,476.66","1,518.49","1,460.45","216.79M","-2.32%"
"01/14/2022","1,506.56","1,472.95","1,508.45","1,464.19","250.34M","1.09%"
"01/13/2022","1,490.26","1,570.84","1,583.73","1,484.83","303.92M","-4.84%"
"01/12/2022","1,566.08","1,542.57","1,574.50","1,535.25","231.25M","2.79%"
"01/11/2022","1,523.55","1,506.80","1,531.31","1,487.34","241.08M","0.76%"
"01/10/2022","1,512.06","1,458.61","1,513.02","1,433.33","252.59M","1.56%"
"01/07/2022","1,488.84","1,544.65","1,547.67","1,469.89","283.27M","-2.57%"
"01/06/2022","1,528.06","1,535.76","1,550.79","1,467.67","324.53M","-1.09%"
"01/05/2022","1,544.94","1,614.21","1,638.16","1,537.59","403.83M","-4.88%"
"01/04/2022","1,624.25","1,646.83","1,671.19","1,591.03","445.08M","-1.64%"
"01/03/2022","1,651.32","1,590.56","1,652.47","1,581.34","235.41M","10.60%"
"12/31/2021","1,493.06","1,503.26","1,516.81","1,491.08","113.51M","-0.74%"
"12/30/2021","1,504.22","1,491.77","1,533.02","1,489.64","141.69M","-0.81%"
"12/29/2021","1,516.52","1,530.22","1,533.17","1,492.55","114.02M","-0.25%"
"12/28/2021","1,520.29","1,543.79","1,551.50","1,512.98","136.92M","-0.58%"
"12/27/2021","1,529.11","1,500.67","1,552.03","1,498.64","170.59M","2.38%"
"12/23/2021","1,493.61","1,429.52","1,500.65","1,420.97","142.79M","4.40%"
"12/22/2021","1,430.64","1,377.51","1,436.57","1,371.67","183.85M","5.88%"
"12/21/2021","1,351.20","1,329.44","1,352.12","1,292.39","167.62M","3.57%"
"12/20/2021","1,304.62","1,319.75","1,328.21","1,294.24","189.49M","-3.29%"
"12/17/2021","1,348.96","1,341.07","1,384.30","1,327.80","256.53M","-0.54%"
"12/16/2021","1,356.32","1,432.52","1,434.12","1,351.47","182.25M","-3.82%"
"12/15/2021","1,410.21","1,382.91","1,412.08","1,349.89","169.36M","1.47%"
"12/14/2021","1,389.80","1,378.61","1,398.64","1,355.53","199.87M","-0.94%"
"12/13/2021","1,403.04","1,453.01","1,456.73","1,387.90","230.78M","-4.66%"
"12/10/2021","1,471.55","1,448.74","1,472.62","1,423.78","234.00M","2.15%"
"12/09/2021","1,440.58","1,505.88","1,506.82","1,439.19","119.50M","-4.98%"
"12/08/2021","1,516.16","1,500.01","1,519.90","1,475.62","115.54M","1.25%"
"12/07/2021","1,497.41","1,482.44","1,504.76","1,471.15","138.21M","3.78%"
"12/06/2021","1,442.91","1,429.92","1,458.35","1,370.87","172.77M","-0.04%"
"12/03/2021","1,443.45","1,530.06","1,534.62","1,425.92","210.82M","-5.45%"
"12/02/2021","1,526.70","1,529.01","1,551.42","1,492.81","174.76M","0.00%"
"12/01/2021","1,526.76","1,600.46","1,615.95","1,525.11","208.62M","-3.28%"
"11/30/2021","1,578.52","1,587.80","1,609.95","1,547.94","201.11M","-0.15%"
"11/29/2021","1,580.90","1,543.84","1,589.45","1,543.84","135.53M","3.82%"
"11/26/2021","1,522.74","1,549.71","1,549.71","1,517.66","99.32M","-3.07%"
"11/24/2021","1,570.95","1,536.86","1,589.49","1,511.57","136.11M","0.21%"
"11/23/2021","1,567.63","1,632.85","1,645.35","1,517.85","188.02M","-3.38%"
"11/22/2021","1,622.51","1,620.08","1,666.55","1,589.85","254.28M","1.81%"
"11/19/2021","1,593.70","1,557.64","1,596.11","1,551.98","177.94M","2.59%"
"11/18/2021","1,553.39","1,572.89","1,578.64","1,528.95","183.54M","0.00%"
"11/17/2021","1,553.36","1,514.03","1,582.44","1,513.13","167.00M","2.66%"
"11/16/2021","1,513.17","1,460.72","1,515.70","1,460.69","151.78M","2.91%"
"11/15/2021","1,470.40","1,472.53","1,489.81","1,432.85","177.97M","-1.18%"
"11/12/2021","1,487.93","1,498.55","1,504.65","1,473.94","163.57M","-1.83%"
"11/11/2021","1,515.61","1,552.26","1,554.72","1,505.52","187.19M","0.18%"
"11/10/2021","1,512.86","1,452.30","1,528.08","1,428.57","324.01M","2.88%"
"11/09/2021","1,470.45","1,636.01","1,636.01","1,457.68","330.83M","-9.22%"
"11/08/2021","1,619.75","1,597.88","1,654.52","1,580.52","250.46M","-3.28%"
"11/05/2021","1,674.75","1,684.02","1,696.82","1,660.44","177.97M","-0.54%"
